Date,Time,Temperature,WHITEPWM,BLUEPWM,REDPWM,UVPWM,IRPWM
03-31-2019,02:13:28,Temperature: 02:13:28,0,0,0,0,0
03-31-2019,02:13:29,Temperature: 02:13:29,0,0,0,0,0
03-31-2019,02:13:31,Temperature: 02:13:31,0,0,0,0,0
03-31-2019,02:13:32,Temperature: 02:13:32,0,0,0,0,0
03-31-2019,02:13:34,Temperature: 02:13:34,0,0,0,0,0
03-31-2019,02:13:35,Temperature: 02:13:35,0,0,0,0,0
03-31-2019,02:13:37,Temperature: 02:13:37,0,0,0,0,0
03-31-2019,02:13:38,Temperature: 02:13:38,0,0,0,0,0
03-31-2019,02:13:40,Temperature: 02:13:40,0,0,0,0,0
03-31-2019,02:13:41,Temperature: 02:13:41,0,0,0,0,0
03-31-2019,02:13:43,Temperature: 02:13:43,0,0,0,0,0
03-31-2019,02:13:45,Temperature: 02:13:45,0,0,0,0,0
03-31-2019,02:13:46,Temperature: 02:13:46,0,0,0,0,0
03-31-2019,02:13:48,Temperature: 02:13:48,0,0,0,0,0
03-31-2019,02:13:49,Temperature: 02:13:49,0,0,0,0,0
03-31-2019,02:13:51,Temperature: 02:13:51,0,0,0,0,0
03-31-2019,02:13:52,Temperature: 02:13:52,0,0,0,0,0
