Date,Time,Temperature,WHITEPWM,BLUEPWM,REDPWM,UVPWM,IRPWM
03-31-2019,02:19:25,Temperature: 02:19:25,0,0,0,0,0
03-31-2019,02:19:27,Temperature: 02:19:27,0,0,0,0,0
03-31-2019,02:19:28,Temperature: 02:19:28,0,0,0,0,0
03-31-2019,02:19:30,Temperature: 02:19:30,0,0,0,0,0
03-31-2019,02:19:31,Temperature: 02:19:31,0,0,0,0,0
03-31-2019,02:19:33,Temperature: 02:19:33,0,0,0,0,0
03-31-2019,02:19:34,Temperature: 02:19:34,0,0,0,0,0
03-31-2019,02:19:36,Temperature: 02:19:36,0,0,0,0,0
03-31-2019,02:19:37,Temperature: 02:19:37,0,0,0,0,0
03-31-2019,02:19:39,Temperature: 02:19:39,0,0,0,0,0
03-31-2019,02:19:41,Temperature: 02:19:41,0,0,0,0,0
03-31-2019,02:19:42,Temperature: 02:19:42,0,0,0,0,0
03-31-2019,02:19:44,Temperature: 02:19:44,0,0,0,0,0
03-31-2019,02:19:45,Temperature: 02:19:45,0,0,0,0,0
03-31-2019,02:19:47,Temperature: 02:19:47,0,0,0,0,0
03-31-2019,02:19:48,Temperature: 02:19:48,0,0,0,0,0
03-31-2019,02:19:50,Temperature: 02:19:50,0,0,0,0,0
03-31-2019,02:19:51,Temperature: 02:19:51,0,0,0,0,0
03-31-2019,02:19:53,Temperature: 02:19:53,0,0,0,0,0
03-31-2019,02:19:54,Temperature: 02:19:54,0,0,0,0,0
03-31-2019,02:19:56,Temperature: 02:19:56,0,0,0,0,0
03-31-2019,02:19:57,Temperature: 02:19:57,0,0,0,0,0
03-31-2019,02:19:59,Temperature: 02:19:59,0,0,0,14,0
03-31-2019,02:20:00,Temperature: 02:20:00,0,0,0,14,0
03-31-2019,02:20:02,Temperature: 02:20:02,0,0,0,14,0
03-31-2019,02:20:03,Temperature: 02:20:03,0,0,0,14,0
03-31-2019,02:20:05,Temperature: 02:20:05,0,0,0,14,0
03-31-2019,02:20:06,Temperature: 02:20:06,0,0,0,14,0
03-31-2019,02:20:08,Temperature: 02:20:08,0,0,0,14,0
03-31-2019,02:20:09,Temperature: 02:20:09,0,0,0,14,0
03-31-2019,02:20:11,Temperature: 02:20:11,0,0,0,14,0
03-31-2019,02:20:12,Temperature: 02:20:12,0,0,0,14,0
03-31-2019,02:20:14,Temperature: 02:20:14,0,0,0,14,0
03-31-2019,02:20:15,Temperature: 02:20:15,0,0,0,14,0
03-31-2019,02:20:17,Temperature: 02:20:17,0,0,0,14,0
03-31-2019,02:20:18,Temperature: 02:20:18,0,0,0,14,0
03-31-2019,02:20:20,Temperature: 02:20:20,0,0,0,14,0
03-31-2019,02:20:22,Temperature: 02:20:22,0,0,0,14,0
03-31-2019,02:20:23,Temperature: 02:20:23,0,0,0,14,0
03-31-2019,02:20:25,Temperature: 02:20:25,0,0,0,14,0
03-31-2019,02:20:26,Temperature: 02:20:26,0,0,0,14,0
03-31-2019,02:20:28,Temperature: 02:20:28,0,0,0,14,0
03-31-2019,02:20:29,Temperature: 02:20:29,0,0,0,14,0
03-31-2019,02:20:31,Temperature: 02:20:31,0,0,0,14,0
03-31-2019,02:20:32,Temperature: 02:20:32,0,0,0,14,0
03-31-2019,02:20:34,Temperature: 02:20:34,0,0,0,14,0
03-31-2019,02:20:35,Temperature: 02:20:35,0,0,0,14,0
03-31-2019,02:20:37,Temperature: 02:20:37,0,0,0,14,0
03-31-2019,02:20:38,Temperature: 02:20:38,0,0,0,14,0
03-31-2019,02:20:40,Temperature: 02:20:40,0,0,0,14,0
03-31-2019,02:20:41,Temperature: 02:20:41,0,0,0,14,0
03-31-2019,02:20:43,Temperature: 02:20:43,0,0,0,14,0
03-31-2019,02:20:44,Temperature: 02:20:44,0,0,0,14,0
03-31-2019,02:20:46,Temperature: 02:20:46,0,0,0,14,0
03-31-2019,02:20:47,Temperature: 02:20:47,0,0,0,14,0
03-31-2019,02:20:49,Temperature: 02:20:49,0,0,0,14,0
03-31-2019,02:20:50,Temperature: 02:20:50,0,0,0,14,0
03-31-2019,02:20:52,Temperature: 02:20:52,0,0,0,14,0
03-31-2019,02:20:53,Temperature: 02:20:53,0,0,0,14,0
03-31-2019,02:20:55,Temperature: 02:20:55,0,0,0,14,0
03-31-2019,02:20:56,Temperature: 02:20:56,0,0,0,14,0
03-31-2019,02:20:58,Temperature: 02:20:58,0,0,0,14,0
03-31-2019,02:20:59,Temperature: 02:20:59,0,0,0,14,0
03-31-2019,02:21:01,Temperature: 02:21:01,0,0,0,14,0
03-31-2019,02:21:03,Temperature: 02:21:03,0,0,0,14,0
03-31-2019,02:21:04,Temperature: 02:21:04,0,0,0,14,0
03-31-2019,02:21:06,Temperature: 02:21:06,0,0,0,14,0
03-31-2019,02:21:07,Temperature: 02:21:07,0,0,0,14,0
03-31-2019,02:21:09,Temperature: 02:21:09,0,0,0,14,0
03-31-2019,02:21:10,Temperature: 02:21:10,0,0,0,14,0
03-31-2019,02:21:12,Temperature: 02:21:12,0,0,0,14,0
03-31-2019,02:21:13,Temperature: 02:21:13,0,0,0,14,0
03-31-2019,02:21:15,Temperature: 02:21:15,0,0,0,14,0
03-31-2019,02:21:16,Temperature: 02:21:16,0,0,0,14,0
03-31-2019,02:21:18,Temperature: 02:21:18,0,0,0,14,0
03-31-2019,02:21:19,Temperature: 02:21:19,0,0,0,14,0
03-31-2019,02:21:21,Temperature: 02:21:21,0,0,0,14,0
03-31-2019,02:21:22,Temperature: 02:21:22,0,0,0,14,0
03-31-2019,02:21:24,Temperature: 02:21:24,0,0,0,14,0
03-31-2019,02:21:25,Temperature: 02:21:25,0,0,0,14,0
03-31-2019,02:21:27,Temperature: 02:21:27,0,0,0,14,0
03-31-2019,02:21:28,Temperature: 02:21:28,0,0,0,14,0
03-31-2019,02:21:30,Temperature: 02:21:30,0,0,0,14,0
03-31-2019,02:21:31,Temperature: 02:21:31,0,0,0,14,0
03-31-2019,02:21:33,Temperature: 02:21:33,0,0,0,14,0
03-31-2019,02:21:34,Temperature: 02:21:34,0,0,0,14,0
03-31-2019,02:21:36,Temperature: 02:21:36,0,0,0,14,0
03-31-2019,02:21:37,Temperature: 02:21:37,0,0,0,14,0
03-31-2019,02:21:39,Temperature: 02:21:39,0,0,0,14,0
03-31-2019,02:21:40,Temperature: 02:21:40,0,0,0,14,0
03-31-2019,02:21:42,Temperature: 02:21:42,0,0,0,14,0
03-31-2019,02:21:43,Temperature: 02:21:43,0,0,0,14,0
03-31-2019,02:21:45,Temperature: 02:21:45,0,0,0,14,0
03-31-2019,02:21:46,Temperature: 02:21:46,0,0,0,14,0
03-31-2019,02:21:48,Temperature: 02:21:48,0,0,0,14,0
03-31-2019,02:21:50,Temperature: 02:21:50,0,0,0,14,0
03-31-2019,02:21:51,Temperature: 02:21:51,0,0,0,14,0
03-31-2019,02:21:53,Temperature: 02:21:53,0,0,0,14,0
03-31-2019,02:21:54,Temperature: 02:21:54,0,0,0,14,0
03-31-2019,02:21:56,Temperature: 02:21:56,0,0,0,14,0
03-31-2019,02:21:57,Temperature: 02:21:57,0,0,0,14,0
03-31-2019,02:21:59,Temperature: 02:21:59,0,0,0,14,0
03-31-2019,02:22:00,Temperature: 02:22:00,0,0,0,14,0
03-31-2019,02:22:02,Temperature: 02:22:02,0,0,0,14,0
03-31-2019,02:22:03,Temperature: 02:22:03,0,0,0,14,0
03-31-2019,02:22:05,Temperature: 02:22:05,0,0,0,14,0
03-31-2019,02:22:06,Temperature: 02:22:06,0,0,0,14,0
03-31-2019,02:22:08,Temperature: 02:22:08,0,0,0,14,0
03-31-2019,02:22:09,Temperature: 02:22:09,0,0,0,14,0
03-31-2019,02:22:11,Temperature: 02:22:11,0,0,0,14,0
03-31-2019,02:22:12,Temperature: 02:22:12,0,0,0,14,0
03-31-2019,02:22:14,Temperature: 02:22:14,0,0,0,14,0
03-31-2019,02:22:15,Temperature: 02:22:15,0,0,0,14,0
03-31-2019,02:22:17,Temperature: 02:22:17,0,0,0,14,0
03-31-2019,02:22:18,Temperature: 02:22:18,0,0,0,14,0
03-31-2019,02:22:20,Temperature: 02:22:20,0,0,0,14,0
03-31-2019,02:22:21,Temperature: 02:22:21,0,0,0,14,0
03-31-2019,02:22:23,Temperature: 02:22:23,0,0,0,14,0
03-31-2019,02:22:24,Temperature: 02:22:24,0,0,0,14,0
03-31-2019,02:22:26,Temperature: 02:22:26,0,0,0,14,0
03-31-2019,02:22:27,Temperature: 02:22:27,0,0,0,14,0
03-31-2019,02:22:29,Temperature: 02:22:29,0,0,0,14,0
03-31-2019,02:22:31,Temperature: 02:22:31,0,0,0,14,0
03-31-2019,02:22:32,Temperature: 02:22:32,0,0,0,14,0
03-31-2019,02:22:34,Temperature: 02:22:34,0,0,0,14,0
03-31-2019,02:22:35,Temperature: 02:22:35,0,0,0,14,0
03-31-2019,02:22:37,Temperature: 02:22:37,0,0,0,14,0
03-31-2019,02:22:38,Temperature: 02:22:38,0,0,0,14,0
03-31-2019,02:22:40,Temperature: 02:22:40,0,0,0,14,0
03-31-2019,02:22:41,Temperature: 02:22:41,0,0,0,14,0
03-31-2019,02:22:43,Temperature: 02:22:43,0,0,0,14,0
03-31-2019,02:22:44,Temperature: 02:22:44,0,0,0,14,0
03-31-2019,02:22:46,Temperature: 02:22:46,0,0,0,14,0
03-31-2019,02:22:47,Temperature: 02:22:47,0,0,0,14,0
03-31-2019,02:22:49,Temperature: 02:22:49,0,0,0,14,0
03-31-2019,02:22:50,Temperature: 02:22:50,0,0,0,14,0
03-31-2019,02:22:52,Temperature: 02:22:52,0,0,0,14,0
