Date,Time,Temperature,WHITEPWM,BLUEPWM,REDPWM,UVPWM,IRPWM
03-31-2019,02:03:32,Temperature: 02:03:32,0,0,0,0,0
03-31-2019,02:03:34,Temperature: 02:03:34,0,0,0,0,0
03-31-2019,02:03:35,Temperature: 02:03:35,0,0,0,0,0
03-31-2019,02:03:37,Temperature: 02:03:37,0,0,0,0,0
03-31-2019,02:03:38,Temperature: 02:03:38,0,0,0,0,0
03-31-2019,02:03:40,Temperature: 02:03:40,0,0,0,0,0
03-31-2019,02:03:41,Temperature: 02:03:41,0,0,0,0,0
03-31-2019,02:03:43,Temperature: 02:03:43,0,0,0,0,0
03-31-2019,02:03:44,Temperature: 02:03:44,0,0,0,0,0
03-31-2019,02:03:46,Temperature: 02:03:46,0,0,0,0,0
03-31-2019,02:03:47,Temperature: 02:03:47,0,0,0,0,0
03-31-2019,02:03:49,Temperature: 02:03:49,0,0,0,0,0
03-31-2019,02:03:50,Temperature: 02:03:50,0,0,0,0,0
03-31-2019,02:03:52,Temperature: 02:03:52,0,0,0,0,0
03-31-2019,02:03:53,Temperature: 02:03:53,0,0,0,0,0
03-31-2019,02:03:55,Temperature: 02:03:55,0,0,0,0,0
03-31-2019,02:03:56,Temperature: 02:03:56,0,0,0,0,0
03-31-2019,02:03:58,Temperature: 02:03:58,0,0,0,0,0
03-31-2019,02:03:59,Temperature: 02:03:59,0,0,0,0,0
03-31-2019,02:04:01,Temperature: 02:04:01,0,0,0,0,0
03-31-2019,02:04:03,Temperature: 02:04:03,0,0,0,0,0
03-31-2019,02:04:04,Temperature: 02:04:04,0,0,0,0,0
03-31-2019,02:04:06,Temperature: 02:04:06,0,0,0,0,0
03-31-2019,02:04:07,Temperature: 02:04:07,0,0,0,0,0
03-31-2019,02:04:09,Temperature: 02:04:09,0,0,0,0,0
03-31-2019,02:04:10,Temperature: 02:04:10,0,0,0,0,0
03-31-2019,02:04:12,Temperature: 02:04:12,0,0,0,0,0
03-31-2019,02:04:13,Temperature: 02:04:13,0,0,0,0,0
03-31-2019,02:04:15,Temperature: 02:04:15,0,0,0,0,0
03-31-2019,02:04:16,Temperature: 02:04:16,0,0,0,0,0
03-31-2019,02:04:18,Temperature: 02:04:18,0,0,0,0,0
03-31-2019,02:04:19,Temperature: 02:04:19,0,0,0,0,0
03-31-2019,02:04:21,Temperature: 02:04:21,0,0,0,0,0
03-31-2019,02:04:22,Temperature: 02:04:22,0,0,0,0,0
03-31-2019,02:04:24,Temperature: 02:04:24,0,0,0,0,0
03-31-2019,02:04:25,Temperature: 02:04:25,0,0,0,0,0
03-31-2019,02:04:27,Temperature: 02:04:27,0,0,0,0,0
03-31-2019,02:04:28,Temperature: 02:04:28,0,0,0,0,0
03-31-2019,02:04:30,Temperature: 02:04:30,0,0,0,0,0
03-31-2019,02:04:31,Temperature: 02:04:31,0,0,0,0,0
03-31-2019,02:04:33,Temperature: 02:04:33,0,0,0,0,0
03-31-2019,02:04:34,Temperature: 02:04:34,0,0,0,0,0
03-31-2019,02:04:36,Temperature: 02:04:36,0,0,0,0,0
03-31-2019,02:04:37,Temperature: 02:04:37,0,0,0,0,0
03-31-2019,02:04:39,Temperature: 02:04:39,0,0,0,0,0
03-31-2019,02:04:41,Temperature: 02:04:41,0,0,0,0,0
03-31-2019,02:04:42,Temperature: 02:04:42,0,0,0,0,0
03-31-2019,02:04:44,Temperature: 02:04:44,0,0,0,0,0
03-31-2019,02:04:45,Temperature: 02:04:45,0,0,0,0,0
03-31-2019,02:04:47,Temperature: 02:04:47,0,0,0,0,0
03-31-2019,02:04:48,Temperature: 02:04:48,0,0,0,0,0
03-31-2019,02:04:50,Temperature: 02:04:50,0,0,0,0,0
03-31-2019,02:04:51,Temperature: 02:04:51,0,0,0,0,0
03-31-2019,02:04:53,Temperature: 02:04:53,0,0,0,0,0
03-31-2019,02:04:54,Temperature: 02:04:54,0,0,0,0,0
03-31-2019,02:04:56,Temperature: 02:04:56,0,0,0,0,0
03-31-2019,02:04:57,Temperature: 02:04:57,0,0,0,0,0
03-31-2019,02:04:59,Temperature: 02:04:59,0,0,0,0,0
03-31-2019,02:05:00,Temperature: 02:05:00,0,0,0,0,0
03-31-2019,02:05:02,Temperature: 02:05:02,0,0,0,0,0
03-31-2019,02:05:03,Temperature: 02:05:03,0,0,0,0,0
03-31-2019,02:05:05,Temperature: 02:05:05,0,0,0,0,0
03-31-2019,02:05:06,Temperature: 02:05:06,0,0,0,0,0
03-31-2019,02:05:08,Temperature: 02:05:08,0,0,0,0,0
03-31-2019,02:05:09,Temperature: 02:05:09,0,0,0,0,0
03-31-2019,02:05:11,Temperature: 02:05:11,0,0,0,0,0
03-31-2019,02:05:12,Temperature: 02:05:12,0,0,0,0,0
03-31-2019,02:05:14,Temperature: 02:05:14,0,0,0,0,0
03-31-2019,02:05:15,Temperature: 02:05:15,0,0,0,0,0
03-31-2019,02:05:17,Temperature: 02:05:17,0,0,0,0,0
03-31-2019,02:05:18,Temperature: 02:05:18,0,0,0,0,0
03-31-2019,02:05:20,Temperature: 02:05:20,0,0,0,0,0
03-31-2019,02:05:21,Temperature: 02:05:21,0,0,0,0,0
03-31-2019,02:05:23,Temperature: 02:05:23,0,0,0,0,0
03-31-2019,02:05:25,Temperature: 02:05:25,0,0,0,0,0
03-31-2019,02:05:26,Temperature: 02:05:26,0,0,0,0,0
03-31-2019,02:05:28,Temperature: 02:05:28,0,0,0,0,0
03-31-2019,02:05:29,Temperature: 02:05:29,0,0,0,0,0
